timestamp,hypnogram_level,hypnogram_class
1594981769000,4,awake
1594982069000,4,awake
1594982369000,4,awake
1594982669000,2,light
1594982969000,1,deep
1594983269000,1,deep
1594983569000,1,deep
1594983869000,3,REM
1594984169000,1,deep
1594984469000,1,deep
1594984769000,1,deep
1594985069000,4,awake
1594985369000,2,light
1594985669000,2,light
1594985969000,2,light
1594986269000,2,light
1594986569000,1,deep
1594986869000,1,deep
1594987169000,1,deep
1594987469000,1,deep
1594987769000,1,deep
1594988069000,1,deep
1594988369000,1,deep
1594988669000,4,awake
1594988969000,4,awake
1594989269000,1,deep
1594989569000,2,light
1594989869000,4,awake
1594990169000,4,awake
1594990469000,3,REM
1594990769000,1,deep
1594991069000,2,light
1594991369000,2,light
1594991669000,2,light
1594991969000,2,light
1594992269000,2,light
1594992569000,2,light
1594992869000,2,light
1594993169000,2,light
1594993469000,2,light
1594993769000,2,light
1594994069000,2,light
1594994369000,2,light
1594994669000,2,light
1594994969000,2,light
1594995269000,2,light
1594995569000,1,deep
1594995869000,1,deep
1594996169000,2,light
1594996469000,2,light
1594996769000,2,light
1594997069000,2,light
1594997369000,1,deep
1594997669000,1,deep
1594997969000,1,deep
1594998269000,2,light
1594998569000,1,deep
1594998869000,3,REM
1594999169000,3,REM
1594999469000,3,REM
1594999769000,2,light
1595000069000,2,light
1595000369000,2,light
1595000669000,2,light
1595000969000,2,light
1595001269000,2,light
1595001569000,3,REM
1595001869000,3,REM
1595002169000,2,light
1595002469000,2,light
1595002769000,2,light
1595003069000,2,light
1595003369000,2,light
1595003669000,2,light
1595003969000,2,light
1595004269000,2,light
1595004569000,2,light
1595004869000,4,awake
1595005169000,4,awake
1595005469000,4,awake
1595005769000,4,awake
1595006069000,4,awake
1595006369000,3,REM
1595006669000,3,REM
1595006969000,3,REM
1595007269000,2,light
1595007569000,2,light
1595007869000,2,light
1595008169000,2,light
1595008469000,4,awake
1595008769000,4,awake
1595009069000,4,awake
1595009369000,4,awake
1595009669000,4,awake
1595009969000,4,awake
1595010269000,4,awake
1595063432000,4,awake
1595063732000,4,awake
1595064032000,4,awake
1595064332000,2,light
1595064632000,2,light
1595064932000,1,deep
1595065232000,1,deep
1595065532000,4,awake
1595065832000,4,awake
1595066132000,2,light
1595066432000,1,deep
1595066732000,1,deep
1595067032000,1,deep
1595067332000,1,deep
1595067632000,2,light
1595067932000,2,light
1595068232000,1,deep
1595068532000,2,light
1595068832000,2,light
1595069132000,2,light
1595069432000,2,light
1595069732000,2,light
1595070032000,2,light
1595070332000,1,deep
1595070632000,1,deep
1595070932000,1,deep
1595071232000,1,deep
1595071532000,2,light
1595071832000,1,deep
1595072132000,1,deep
1595072432000,1,deep
1595072732000,1,deep
1595073032000,1,deep
1595073332000,3,REM
1595073632000,3,REM
1595073932000,3,REM
1595074232000,3,REM
1595074532000,2,light
1595074832000,2,light
1595075132000,2,light
1595075432000,1,deep
1595075732000,2,light
1595076032000,2,light
1595076332000,2,light
1595076632000,1,deep
1595076932000,2,light
1595077232000,2,light
1595077532000,2,light
1595077832000,2,light
1595078132000,2,light
1595078432000,2,light
1595078732000,2,light
1595079032000,2,light
1595079332000,3,REM
1595079632000,3,REM
1595079932000,3,REM
1595080232000,4,awake
1595080532000,4,awake
1595080832000,2,light
1595081132000,2,light
1595081432000,2,light
1595081732000,2,light
1595082032000,1,deep
1595082332000,1,deep
1595082632000,2,light
1595082932000,2,light
1595083232000,1,deep
1595083532000,2,light
1595083832000,2,light
1595084132000,2,light
1595084432000,2,light
1595084732000,3,REM
1595085032000,3,REM
1595085332000,3,REM
1595085632000,3,REM
1595085932000,3,REM
1595086232000,3,REM
1595086532000,3,REM
1595086832000,3,REM
1595087132000,3,REM
1595087432000,2,light
1595087732000,2,light
1595088032000,2,light
1595088332000,2,light
1595088632000,2,light
1595088932000,1,deep
1595089232000,2,light
1595089532000,2,light
1595089832000,2,light
1595090132000,2,light
1595090432000,4,awake
1595090732000,4,awake
1595091032000,2,light
1595091332000,2,light
1595091632000,3,REM
1595091932000,3,REM
1595092232000,4,awake
1595156353000,4,awake
1595156653000,4,awake
1595156953000,2,light
1595157253000,2,light
1595157553000,2,light
1595157853000,1,deep
1595158153000,4,awake
1595158453000,2,light
1595158753000,2,light
1595159053000,1,deep
1595159353000,1,deep
1595159653000,1,deep
1595159953000,4,awake
1595160253000,4,awake
1595160553000,2,light
1595160853000,2,light
1595161153000,3,REM
1595161453000,3,REM
1595161753000,2,light
1595162053000,2,light
1595162353000,1,deep
1595162653000,1,deep
1595162953000,1,deep
1595163253000,1,deep
1595163553000,2,light
1595163853000,2,light
1595164153000,1,deep
1595164453000,1,deep
1595164753000,2,light
1595165053000,2,light
1595165353000,2,light
1595165653000,2,light
1595165953000,3,REM
1595166253000,3,REM
1595166553000,3,REM
1595166853000,4,awake
1595167153000,2,light
1595167453000,2,light
1595167753000,2,light
1595168053000,1,deep
1595168353000,1,deep
1595168653000,1,deep
1595168953000,1,deep
1595169253000,1,deep
1595169553000,1,deep
1595169853000,1,deep
1595170153000,1,deep
1595170453000,1,deep
1595170753000,2,light
1595171053000,2,light
1595171353000,2,light
1595171653000,2,light
1595171953000,2,light
1595172253000,2,light
1595172553000,2,light
1595172853000,2,light
1595173153000,2,light
1595173453000,1,deep
1595173753000,3,REM
1595174053000,2,light
1595174353000,2,light
1595174653000,2,light
1595174953000,3,REM
1595175253000,3,REM
1595175553000,3,REM
1595175853000,3,REM
1595176153000,3,REM
1595176453000,2,light
1595176753000,2,light
1595177053000,3,REM
1595177353000,3,REM
1595177653000,4,awake
1595235940000,4,awake
1595236240000,4,awake
1595236540000,4,awake
1595236840000,2,light
1595237140000,1,deep
1595237440000,1,deep
1595237740000,1,deep
1595238040000,1,deep
1595238340000,1,deep
1595238640000,1,deep
1595238940000,1,deep
1595239240000,1,deep
1595239540000,1,deep
1595239840000,1,deep
1595240140000,1,deep
1595240440000,1,deep
1595240740000,1,deep
1595241040000,1,deep
1595241340000,1,deep
1595241640000,1,deep
1595241940000,1,deep
1595242240000,1,deep
1595242540000,1,deep
1595242840000,1,deep
1595243140000,1,deep
1595243440000,2,light
1595243740000,2,light
1595244040000,2,light
1595244340000,2,light
1595244640000,2,light
1595244940000,2,light
1595245240000,2,light
1595245540000,2,light
1595245840000,2,light
1595246140000,2,light
1595246440000,2,light
1595246740000,1,deep
1595247040000,3,REM
1595247340000,3,REM
1595247640000,3,REM
1595247940000,2,light
1595248240000,2,light
1595248540000,2,light
1595248840000,2,light
1595249140000,2,light
1595249440000,2,light
1595249740000,3,REM
1595250040000,3,REM
1595250340000,2,light
1595250640000,1,deep
1595250940000,2,light
1595251240000,2,light
1595251540000,2,light
1595251840000,1,deep
1595252140000,2,light
1595252440000,1,deep
1595252740000,2,light
1595253040000,3,REM
1595253340000,1,deep
1595253640000,1,deep
1595253940000,3,REM
1595254240000,3,REM
1595254540000,3,REM
1595254840000,3,REM
1595255140000,3,REM
1595255440000,2,light
1595255740000,4,awake
1595256040000,2,light
1595256340000,2,light
1595256640000,3,REM
1595256940000,3,REM
1595257240000,3,REM
1595257540000,3,REM
1595257840000,3,REM
1595258140000,3,REM
1595258440000,3,REM
1595258740000,2,light
1595259040000,2,light
1595259340000,2,light
1595259640000,2,light
1595259940000,4,awake
1595260240000,4,awake
1595260540000,2,light
1595260840000,2,light
1595261140000,2,light
1595261440000,2,light
1595261740000,2,light
1595262040000,2,light
1595262340000,2,light
1595262640000,2,light
1595262940000,1,deep
1595263240000,1,deep
1595263540000,1,deep
1595263840000,1,deep
1595264140000,1,deep
1595264440000,2,light
1595264740000,3,REM
1595265040000,3,REM
1595265340000,3,REM
1595265640000,3,REM
1595265940000,2,light
1595266240000,2,light
1595266540000,2,light
1595266840000,2,light
1595267140000,2,light
1595267440000,2,light
1595267740000,2,light
1595268040000,2,light
1595268340000,1,deep
1595268640000,4,awake
1595268940000,4,awake
1595269240000,4,awake
1595323750000,4,awake
1595324050000,4,awake
1595324350000,2,light
1595324650000,2,light
1595324950000,1,deep
1595325250000,1,deep
1595325550000,1,deep
1595325850000,1,deep
1595326150000,1,deep
1595326450000,1,deep
1595326750000,1,deep
1595327050000,1,deep
1595327350000,1,deep
1595327650000,4,awake
1595327950000,2,light
1595328250000,2,light
1595328550000,2,light
1595328850000,2,light
1595329150000,1,deep
1595329450000,1,deep
1595329750000,1,deep
1595330050000,1,deep
1595330350000,1,deep
1595330650000,1,deep
1595330950000,1,deep
1595331250000,2,light
1595331550000,2,light
1595331850000,3,REM
1595332150000,3,REM
1595332450000,3,REM
1595332750000,2,light
1595333050000,2,light
1595333350000,2,light
1595333650000,1,deep
1595333950000,1,deep
1595334250000,1,deep
1595334550000,1,deep
1595334850000,2,light
1595335150000,2,light
1595335450000,2,light
1595335750000,1,deep
1595336050000,1,deep
1595336350000,1,deep
1595336650000,1,deep
1595336950000,1,deep
1595337250000,2,light
1595337550000,2,light
1595337850000,3,REM
1595338150000,3,REM
1595338450000,1,deep
1595338750000,2,light
1595339050000,2,light
1595339350000,1,deep
1595339650000,1,deep
1595339950000,1,deep
1595340250000,1,deep
1595340550000,1,deep
1595340850000,2,light
1595341150000,2,light
1595341450000,4,awake
1595341750000,2,light
1595342050000,2,light
1595342350000,2,light
1595342650000,3,REM
1595342950000,3,REM
1595343250000,2,light
1595343550000,3,REM
1595343850000,3,REM
1595344150000,3,REM
1595344450000,3,REM
1595344750000,3,REM
1595345050000,3,REM
1595345350000,3,REM
1595345650000,3,REM
1595345950000,2,light
1595346250000,2,light
1595346550000,2,light
1595346850000,2,light
1595347150000,2,light
1595347450000,2,light
1595347750000,2,light
1595348050000,2,light
1595348350000,2,light
1595348650000,2,light
1595348950000,2,light
1595349250000,2,light
1595349550000,3,REM
1595349850000,2,light
1595350150000,2,light
1595350450000,2,light
1595350750000,3,REM
